Subject,Chunk,Filename,AxialSlices
sub-NDRI240907329299,S0,S0_66.5cm_T2s_75i_TR45TE9_cor_12avg_600_part-mag.nii.gz,730
sub-NDRI240907329299,S1,S1_71.5cm_T2s_75i_TR45TE9_cor_21avg_1400_part-mag.nii.gz,730
sub-NDRI241109220299,S0,S0_67.0cm_T2s_75i_TR45TE9_cor_15avg_500_part-mag.nii.gz,730
sub-NDRI241109220299,S1,S1_72.1cm_T2s_75i_TR45TE9_cor_18avg_1300_part-mag.nii.gz,730
sub-NDRI241109220299,S2,S2_77.1cm_T2s_75i_TR45TE9_cor_12avg_1700_part-mag.nii.gz,730
sub-NDRI241109220299,S3,S3_82.2cm_T2s_75i_TR45TE9_cor_12avg_2100_part-mag.nii.gz,730
sub-NDRI241109220299,S4,S4_87.2cm_T2s_75i_TR45TE9_cor_12avg_2500_part-mag.nii.gz,730
sub-NDRI241109220299,S5,S5_92.2cm_T2s_75i_TR45TE9_cor_15avg_2800_part-mag.nii.gz,730
sub-NDRI241209671298,S0,S0_67.0cm_T2s_75i_TR45TE9_cor_12avg_400_part-mag.nii.gz,730
sub-NDRI241209671298,S1,S1_72.0cm_T2s_75i_TR45TE9_cor_18avg_1000_part-mag.nii.gz,730
sub-NDRI241209671298,S2,S2_77.0cm_T2s_75i_TR45TE9_cor_18avg_1300_part-mag.nii.gz,730
sub-NDRI250100036428,S0,S0_65.0cm_T2s_75i_TR45TE9_cor_15avg_200_part-mag.nii.gz,730
sub-NDRI250100036428,S1,S1_70.2cm_T2s_75i_TR45TE9_cor_21avg_1600_part-mag.nii.gz,730
sub-NDRI250100036428,S2,S2_75.2cm_T2s_75i_TR45TE9_cor_21avg_1900_part-mag.nii.gz,730
sub-NDRI250100036428,S3,S3_80.2cm_T2s_75i_TR45TE9_cor_14avg_3200_part-mag.nii.gz,730
sub-NDRI250100036428,S4,S4_85.2cm_T2s_75i_TR45TE9_cor_14avg_3900_part-mag.nii.gz,730
